sale_id,date,month,month_name,day_of_week,is_weekend,is_festival_month,festival_name,temperature_celsius,locality,store_type,brand,chocolate_type,unit_price_inr,discount_percent,price_after_discount,quantity_sold,total_revenue_inr,customer_segment,purchase_occasion,payment_mode,customer_satisfaction
SAL00021,2024-01-30,1,January,Tuesday,0,1,Sankranti,26.3,Jaganatha Pura,Kirana Store,Milkybar,White,10,0,10.0,12,120.0,Student,Self Reward,Cash,2
SAL00022,2024-04-05,4,April,Friday,0,1,Ugadi,35.3,Cantonment,Petrol Bunk Shop,Munch,Wafer,10,10,9.0,9,81.0,Student,Self Reward,Cash,4
SAL00023,2024-10-25,10,October,Friday,0,1,Dasara,29.3,Navalagund Circle,Bakery,Munch,Wafer,20,5,19.0,14,266.0,Homemaker,Gifting,Card,5
SAL00024,2024-02-07,2,February,Wednesday,0,0,None,27.0,Shivaji Nagar,Medical + General,KitKat,Wafer,10,0,10.0,12,120.0,Tourist,Gifting,Cash,5
SAL00025,2024-07-08,7,July,Monday,0,0,None,30.1,Bellary Fort Area,Medical + General,Perk,Wafer,20,15,17.0,6,102.0,Tourist,Regular Purchase,Cash,5
SAL00026,2024-03-09,3,March,Saturday,1,0,None,32.1,Cantonment,Petrol Bunk Shop,Éclairs,Toffee,1,0,1.0,7,7.0,Homemaker,Festival,Card,4
SAL00027,2024-05-08,5,May,Wednesday,0,0,None,41.6,Gandhi Nagar,Kirana Store,Bournville,Dark,100,15,85.0,1,85.0,Student,Regular Purchase,Card,3
SAL00028,2024-08-14,8,August,Wednesday,0,1,Friendship Day,30.2,Ballari Camp,Medical + General,Dairy Milk,Milk,10,20,8.0,9,72.0,Student,Office Treat,Card,4
SAL00029,2024-03-16,3,March,Saturday,1,0,None,32.7,Gandhi Nagar,Bakery,Milkybar,White,10,20,8.0,10,80.0,Homemaker,Gifting,Cash,5
SAL00030,2024-07-27,7,July,Saturday,1,0,None,32.9,Vijayanagar Colony,Supermarket,Munch,Wafer,5,20,4.0,3,12.0,Working Professional,Birthday,UPI,5
SAL00031,2024-05-07,5,May,Tuesday,0,0,None,39.1,Vijayanagar Colony,Kirana Store,Bournville,Dark,50,0,50.0,12,600.0,Business Owner,Gifting,UPI,3
SAL00032,2024-12-03,12,December,Tuesday,0,1,Christmas,23.8,Navalagund Circle,Bakery,KitKat,Wafer,20,0,20.0,11,220.0,Homemaker,Office Treat,Cash,5
SAL00033,2024-05-13,5,May,Monday,0,0,None,38.7,Hospet Road,Kirana Store,KitKat,Wafer,50,10,45.0,3,135.0,Business Owner,Festival,Cash,2
SAL00034,2024-10-22,10,October,Tuesday,0,1,Dasara,27.8,Gandhi Nagar,Petrol Bunk Shop,Bournville,Dark,50,0,50.0,8,400.0,Tourist,Self Reward,Card,4
SAL00035,2024-12-05,12,December,Thursday,0,1,Christmas,26.4,Vijayanagar Colony,Bakery,Éclairs,Toffee,5,10,4.5,12,54.0,Business Owner,Festival,UPI,3
SAL00036,2024-12-06,12,December,Friday,0,1,Christmas,26.8,Kuvempu Nagar,Petrol Bunk Shop,5 Star,Caramel,40,0,40.0,9,360.0,Tourist,Festival,Card,3
SAL00037,2024-10-23,10,October,Wednesday,0,1,Dasara,29.4,Navalagund Circle,Sweet Shop,Temptation,Milk,120,15,102.0,12,1224.0,Working Professional,Self Reward,Cash,3
SAL00038,2024-12-05,12,December,Thursday,0,1,Christmas,25.5,Navalagund Circle,Kirana Store,Munch,Wafer,20,0,20.0,7,140.0,Homemaker,Gifting,UPI,4
SAL00039,2024-02-07,2,February,Wednesday,0,0,None,28.8,Kuvempu Nagar,Medical + General,Munch,Wafer,20,0,20.0,4,80.0,Business Owner,Birthday,Cash,5
SAL00040,2024-02-24,2,February,Saturday,1,0,None,30.1,Kudligi Road,Supermarket,Éclairs,Toffee,5,0,5.0,7,35.0,Student,Self Reward,UPI,4
SAL00041,2024-10-13,10,October,Sunday,1,1,Dasara,29.4,Bellary Fort Area,Medical + General,Éclairs,Toffee,5,0,5.0,13,65.0,Tourist,Birthday,UPI,5
SAL00042,2024-05-21,5,May,Tuesday,0,0,None,41.1,Jaganatha Pura,Sweet Shop,Munch,Wafer,10,0,10.0,1,10.0,Business Owner,Regular Purchase,Card,3
SAL00043,2024-10-03,10,October,Thursday,0,1,Dasara,27.3,Santhepet,Supermarket,Bournville,Dark,180,5,171.0,6,1026.0,Working Professional,Office Treat,Card,4
SAL00044,2024-07-31,7,July,Wednesday,0,0,None,29.2,Ballari Camp,Sweet Shop,Amul Dark,Dark,55,0,55.0,3,165.0,Tourist,Birthday,Card,5
SAL00045,2024-08-02,8,August,Friday,0,1,Friendship Day,30.2,Vijayanagar Colony,Medical + General,Amul Dark,Dark,55,5,52.25,17,888.25,Business Owner,Gifting,Card,4
SAL00046,2024-07-26,7,July,Friday,0,0,None,31.9,Bellary Fort Area,Supermarket,Amul Dark,Dark,55,0,55.0,4,220.0,Business Owner,Self Reward,UPI,3
SAL00047,2024-08-24,8,August,Saturday,1,1,Friendship Day,28.7,Hospet Road,Sweet Shop,Milkybar,White,10,20,8.0,14,112.0,Business Owner,Festival,UPI,3
SAL00048,2024-02-11,2,February,Sunday,1,0,None,28.9,Vijayanagar Colony,Medical + General,Dairy Milk,Milk,40,20,32.0,3,96.0,Working Professional,Office Treat,Cash,5
SAL00049,2024-04-12,4,April,Friday,0,1,Ugadi,38.4,Shivaji Nagar,Supermarket,Munch,Wafer,5,5,4.75,5,23.75,Business Owner,Office Treat,Card,5
SAL00050,2024-03-26,3,March,Tuesday,0,0,None,33.4,Vijayanagar Colony,Petrol Bunk Shop,KitKat,Wafer,10,0,10.0,4,40.0,Homemaker,Regular Purchase,Cash,4
SAL00051,2024-07-11,7,July,Thursday,0,0,None,30.6,Vijayanagar Colony,Supermarket,KitKat,Wafer,50,20,40.0,2,80.0,Working Professional,Regular Purchase,Cash,5
SAL00052,2024-06-26,6,June,Wednesday,0,0,None,35.1,Kuvempu Nagar,Bakery,KitKat,Wafer,50,0,50.0,6,300.0,Homemaker,Regular Purchase,UPI,5
SAL00053,2024-11-21,11,November,Thursday,0,1,Diwali,28.6,Bellary Fort Area,Petrol Bunk Shop,5 Star,Caramel,20,10,18.0,13,234.0,Working Professional,Office Treat,Cash,5
SAL00054,2024-08-26,8,August,Monday,0,1,Friendship Day,29.7,Vijayanagar Colony,Medical + General,Perk,Wafer,10,20,8.0,8,64.0,Working Professional,Regular Purchase,UPI,4
SAL00055,2024-12-08,12,December,Sunday,1,1,Christmas,24.5,Gandhi Nagar,Sweet Shop,Milkybar,White,10,10,9.0,22,198.0,Business Owner,Gifting,Card,4
SAL00056,2024-09-21,9,September,Saturday,1,1,Ganesh Chaturthi,31.8,Cantonment,Supermarket,Bournville,Dark,100,20,80.0,26,2080.0,Tourist,Gifting,Cash,2
SAL00057,2024-04-23,4,April,Tuesday,0,1,Ugadi,36.6,Kudligi Road,Bakery,Amul Dark,Dark,99,15,84.15,9,757.35,Business Owner,Self Reward,Cash,4
SAL00058,2024-12-25,12,December,Wednesday,0,1,Christmas,24.8,Hospet Road,Bakery,Munch,Wafer,5,0,5.0,8,40.0,Working Professional,Festival,UPI,5
SAL00059,2024-05-21,5,May,Tuesday,0,0,None,40.9,Jaganatha Pura,Medical + General,Perk,Wafer,5,0,5.0,2,10.0,Working Professional,Festival,Card,1
SAL00060,2024-09-30,9,September,Monday,0,1,Ganesh Chaturthi,28.5,Gandhi Nagar,Kirana Store,Éclairs,Toffee,5,10,4.5,5,22.5,Working Professional,Office Treat,Card,4
SAL00061,2024-08-13,8,August,Tuesday,0,1,Friendship Day,29.4,Gandhi Nagar,Bakery,Temptation,Milk,80,0,80.0,5,400.0,Student,Birthday,UPI,5
SAL00062,2024-06-04,6,June,Tuesday,0,0,None,33.3,Kudligi Road,Kirana Store,Éclairs,Toffee,5,20,4.0,5,20.0,Tourist,Self Reward,Cash,4
SAL00063,2024-08-14,8,August,Wednesday,0,1,Friendship Day,29.2,Shivaji Nagar,Sweet Shop,Perk,Wafer,20,20,16.0,11,176.0,Tourist,Regular Purchase,UPI,4
SAL00064,2024-05-15,5,May,Wednesday,0,0,None,40.6,Santhepet,Supermarket,5 Star,Caramel,40,15,34.0,12,408.0,Student,Gifting,Cash,4
SAL00065,2024-01-17,1,January,Wednesday,0,1,Sankranti,24.9,Vijayanagar Colony,Bakery,Temptation,Milk,80,5,76.0,12,912.0,Working Professional,Festival,Cash,4
SAL00066,2024-11-27,11,November,Wednesday,0,1,Diwali,25.6,Hospet Road,Supermarket,KitKat,Wafer,10,5,9.5,13,123.5,Working Professional,Festival,Cash,4
SAL00067,2024-06-04,6,June,Tuesday,0,0,None,35.8,Hospet Road,Medical + General,Éclairs,Toffee,5,5,4.75,4,19.0,Business Owner,Regular Purchase,Card,4
SAL00068,2024-01-14,1,January,Sunday,1,1,Sankranti,24.4,Kuvempu Nagar,Medical + General,Amul Dark,Dark,55,10,49.5,12,594.0,Homemaker,Self Reward,UPI,5
SAL00069,2024-04-02,4,April,Tuesday,0,1,Ugadi,39.0,Ballari Camp,Petrol Bunk Shop,Temptation,Milk,80,15,68.0,7,476.0,Business Owner,Festival,Cash,5
SAL00070,2024-06-17,6,June,Monday,0,0,None,34.6,Bellary Fort Area,Bakery,Bournville,Dark,180,0,180.0,2,360.0,Student,Birthday,Card,2
SAL00071,2024-07-25,7,July,Thursday,0,0,None,32.5,Gandhi Nagar,Petrol Bunk Shop,Éclairs,Toffee,5,10,4.5,3,13.5,Business Owner,Regular Purchase,UPI,4
SAL00072,2024-01-27,1,January,Saturday,1,1,Sankranti,24.8,Jaganatha Pura,Supermarket,Perk,Wafer,10,15,8.5,11,93.5,Business Owner,Regular Purchase,UPI,3
SAL00073,2024-01-08,1,January,Monday,0,1,Sankranti,26.2,Cantonment,Supermarket,KitKat,Wafer,20,10,18.0,8,144.0,Student,Office Treat,Card,4
SAL00074,2024-09-04,9,September,Wednesday,0,1,Ganesh Chaturthi,31.9,Kudligi Road,Sweet Shop,Éclairs,Toffee,1,0,1.0,15,15.0,Business Owner,Gifting,UPI,4
SAL00075,2024-09-16,9,September,Monday,0,1,Ganesh Chaturthi,29.1,Gandhi Nagar,Bakery,Perk,Wafer,20,5,19.0,12,228.0,Tourist,Office Treat,Cash,4
SAL00076,2024-06-19,6,June,Wednesday,0,0,None,35.2,Jaganatha Pura,Sweet Shop,Temptation,Milk,120,0,120.0,4,480.0,Working Professional,Office Treat,UPI,1
SAL00077,2024-08-30,8,August,Friday,0,1,Friendship Day,30.8,Ballari Camp,Sweet Shop,5 Star,Caramel,20,20,16.0,18,288.0,Student,Gifting,UPI,2
SAL00078,2024-08-21,8,August,Wednesday,0,1,Friendship Day,28.1,Santhepet,Sweet Shop,5 Star,Caramel,10,15,8.5,11,93.5,Business Owner,Festival,Cash,5
SAL00079,2024-12-11,12,December,Wednesday,0,1,Christmas,26.4,Ballari Camp,Bakery,Temptation,Milk,80,0,80.0,10,800.0,Tourist,Regular Purchase,Cash,4
SAL00080,2024-02-20,2,February,Tuesday,0,0,None,30.0,Vijayanagar Colony,Kirana Store,Temptation,Milk,80,20,64.0,2,128.0,Homemaker,Regular Purchase,Cash,3
SAL00081,2024-07-10,7,July,Wednesday,0,0,None,30.7,Kudligi Road,Medical + General,Bournville,Dark,180,10,162.0,8,1296.0,Working Professional,Gifting,UPI,4
SAL00082,2024-10-25,10,October,Friday,0,1,Dasara,27.6,Bellary Fort Area,Petrol Bunk Shop,Perk,Wafer,10,0,10.0,11,110.0,Homemaker,Office Treat,Cash,3
SAL00083,2024-08-14,8,August,Wednesday,0,1,Friendship Day,31.8,Shivaji Nagar,Bakery,Bournville,Dark,180,20,144.0,8,1152.0,Homemaker,Birthday,UPI,2
SAL00084,2024-07-14,7,July,Sunday,1,0,None,31.3,Shivaji Nagar,Bakery,Perk,Wafer,5,10,4.5,3,13.5,Business Owner,Festival,UPI,5
SAL00085,2024-05-26,5,May,Sunday,1,0,None,41.1,Kudligi Road,Medical + General,Milkybar,White,10,15,8.5,4,34.0,Working Professional,Self Reward,Cash,5
SAL00086,2024-11-26,11,November,Tuesday,0,1,Diwali,25.2,Bellary Fort Area,Kirana Store,Amul Dark,Dark,99,0,99.0,9,891.0,Working Professional,Regular Purchase,UPI,3
SAL00087,2024-10-03,10,October,Thursday,0,1,Dasara,30.5,Navalagund Circle,Medical + General,Éclairs,Toffee,5,15,4.25,13,55.25,Working Professional,Festival,Card,5
SAL00088,2024-08-27,8,August,Tuesday,0,1,Friendship Day,31.9,Santhepet,Supermarket,Bournville,Dark,180,10,162.0,7,1134.0,Homemaker,Regular Purchase,Cash,4
SAL00089,2024-12-10,12,December,Tuesday,0,1,Christmas,26.0,Hospet Road,Medical + General,Bournville,Dark,180,10,162.0,6,972.0,Homemaker,Regular Purchase,Cash,3
SAL00090,2024-11-08,11,November,Friday,0,1,Diwali,25.9,Cantonment,Petrol Bunk Shop,Temptation,Milk,120,0,120.0,3,360.0,Business Owner,Regular Purchase,UPI,2
SAL00091,2024-04-30,4,April,Tuesday,0,1,Ugadi,38.5,Santhepet,Sweet Shop,Temptation,Milk,120,5,114.0,10,1140.0,Tourist,Birthday,Cash,5
SAL00092,2024-11-11,11,November,Monday,0,1,Diwali,26.6,Hospet Road,Kirana Store,Milkybar,White,10,0,10.0,11,110.0,Business Owner,Birthday,Card,4
SAL00093,2024-11-26,11,November,Tuesday,0,1,Diwali,26.4,Ballari Camp,Bakery,Munch,Wafer,5,0,5.0,8,40.0,Business Owner,Regular Purchase,Card,3
SAL00094,2024-03-05,3,March,Tuesday,0,0,None,34.1,Kudligi Road,Kirana Store,Éclairs,Toffee,1,20,0.8,10,8.0,Tourist,Gifting,Cash,1
SAL00095,2024-03-15,3,March,Friday,0,0,None,35.0,Jaganatha Pura,Bakery,5 Star,Caramel,10,10,9.0,11,99.0,Student,Gifting,Card,1
SAL00096,2024-05-15,5,May,Wednesday,0,0,None,38.2,Vijayanagar Colony,Sweet Shop,Éclairs,Toffee,1,10,0.9,5,4.5,Student,Birthday,Cash,2
SAL00097,2024-09-14,9,September,Saturday,1,1,Ganesh Chaturthi,28.9,Shivaji Nagar,Kirana Store,Éclairs,Toffee,5,5,4.75,7,33.25,Business Owner,Office Treat,Cash,4
SAL00098,2024-08-15,8,August,Thursday,0,1,Friendship Day,28.3,Cantonment,Bakery,Amul Dark,Dark,55,10,49.5,19,940.5,Student,Gifting,Cash,3
SAL00099,2024-09-15,9,September,Sunday,1,1,Ganesh Chaturthi,30.4,Cantonment,Petrol Bunk Shop,KitKat,Wafer,50,5,47.5,9,427.5,Tourist,Office Treat,Card,5
SAL00100,2024-07-23,7,July,Tuesday,0,0,None,30.7,Cantonment,Bakery,Bournville,Dark,100,0,100.0,4,400.0,Homemaker,Festival,Cash,5
SAL00101,2024-02-17,2,February,Saturday,1,0,None,28.7,Vijayanagar Colony,Petrol Bunk Shop,Milkybar,White,10,15,8.5,9,76.5,Tourist,Regular Purchase,Cash,4
SAL00102,2024-12-06,12,December,Friday,0,1,Christmas,26.8,Ballari Camp,Petrol Bunk Shop,Dairy Milk,Milk,40,0,40.0,5,200.0,Tourist,Festival,UPI,3
SAL00103,2024-02-25,2,February,Sunday,1,0,None,28.4,Jaganatha Pura,Bakery,KitKat,Wafer,20,0,20.0,11,220.0,Tourist,Gifting,UPI,3
SAL00104,2024-06-07,6,June,Friday,0,0,None,36.7,Navalagund Circle,Kirana Store,5 Star,Caramel,10,0,10.0,1,10.0,Tourist,Office Treat,Cash,2
SAL00105,2024-09-28,9,September,Saturday,1,1,Ganesh Chaturthi,28.9,Ballari Camp,Sweet Shop,Milkybar,White,10,0,10.0,13,130.0,Homemaker,Festival,UPI,3
SAL00106,2024-11-12,11,November,Tuesday,0,1,Diwali,25.2,Cantonment,Bakery,Temptation,Milk,120,0,120.0,10,1200.0,Business Owner,Self Reward,Cash,2
SAL00107,2024-08-08,8,August,Thursday,0,1,Friendship Day,28.4,Kuvempu Nagar,Petrol Bunk Shop,Amul Dark,Dark,99,5,94.05,5,470.25,Tourist,Office Treat,Cash,2
SAL00108,2024-04-14,4,April,Sunday,1,1,Ugadi,36.2,Kudligi Road,Supermarket,Perk,Wafer,10,0,10.0,9,90.0,Homemaker,Regular Purchase,UPI,4
SAL00109,2024-12-26,12,December,Thursday,0,1,Christmas,23.9,Jaganatha Pura,Petrol Bunk Shop,Milkybar,White,10,5,9.5,5,47.5,Business Owner,Office Treat,Cash,5
SAL00110,2024-10-21,10,October,Monday,0,1,Dasara,28.7,Ballari Camp,Petrol Bunk Shop,Bournville,Dark,100,20,80.0,5,400.0,Student,Birthday,Cash,4
SAL00111,2024-12-19,12,December,Thursday,0,1,Christmas,26.7,Cantonment,Sweet Shop,KitKat,Wafer,10,5,9.5,9,85.5,Business Owner,Self Reward,Card,5
SAL00112,2024-04-23,4,April,Tuesday,0,1,Ugadi,36.3,Santhepet,Kirana Store,Éclairs,Toffee,10,0,10.0,9,90.0,Student,Self Reward,UPI,3
SAL00113,2024-03-15,3,March,Friday,0,0,None,32.0,Santhepet,Medical + General,5 Star,Caramel,40,15,34.0,16,544.0,Student,Gifting,Cash,4
SAL00114,2024-11-15,11,November,Friday,0,1,Diwali,26.3,Kuvempu Nagar,Bakery,5 Star,Caramel,20,20,16.0,12,192.0,Student,Birthday,Card,4
SAL00115,2024-06-29,6,June,Saturday,1,0,None,35.0,Hospet Road,Sweet Shop,Temptation,Milk,80,10,72.0,3,216.0,Student,Festival,Cash,4
SAL00116,2024-08-24,8,August,Saturday,1,1,Friendship Day,30.3,Vijayanagar Colony,Kirana Store,Temptation,Milk,80,5,76.0,10,760.0,Homemaker,Self Reward,Cash,5
SAL00117,2024-06-24,6,June,Monday,0,0,None,36.9,Cantonment,Medical + General,5 Star,Caramel,10,10,9.0,4,36.0,Working Professional,Office Treat,Cash,4
SAL00118,2024-07-05,7,July,Friday,0,0,None,30.5,Hospet Road,Sweet Shop,Bournville,Dark,100,0,100.0,2,200.0,Tourist,Regular Purchase,Cash,4
SAL00119,2024-07-16,7,July,Tuesday,0,0,None,30.1,Vijayanagar Colony,Petrol Bunk Shop,Amul Dark,Dark,55,0,55.0,5,275.0,Homemaker,Regular Purchase,Card,5
SAL00120,2024-12-23,12,December,Monday,0,1,Christmas,25.6,Santhepet,Medical + General,KitKat,Wafer,20,15,17.0,11,187.0,Tourist,Birthday,Cash,2
SAL00121,2024-12-09,12,December,Monday,0,1,Christmas,24.7,Navalagund Circle,Kirana Store,Milkybar,White,20,0,20.0,21,420.0,Working Professional,Gifting,UPI,3
SAL00122,2024-05-31,5,May,Friday,0,0,None,41.4,Cantonment,Medical + General,Éclairs,Toffee,10,10,9.0,1,9.0,Tourist,Regular Purchase,UPI,3
SAL00123,2024-04-02,4,April,Tuesday,0,1,Ugadi,38.3,Shivaji Nagar,Supermarket,Temptation,Milk,80,20,64.0,6,384.0,Business Owner,Festival,UPI,3
SAL00124,2024-05-02,5,May,Thursday,0,0,None,39.2,Bellary Fort Area,Supermarket,Milkybar,White,40,20,32.0,3,96.0,Tourist,Birthday,UPI,4
SAL00125,2024-08-02,8,August,Friday,0,1,Friendship Day,31.9,Kudligi Road,Medical + General,5 Star,Caramel,20,10,18.0,13,234.0,Student,Office Treat,Cash,4
SAL00126,2024-09-21,9,September,Saturday,1,1,Ganesh Chaturthi,31.4,Hospet Road,Kirana Store,5 Star,Caramel,20,0,20.0,11,220.0,Business Owner,Self Reward,UPI,5
SAL00127,2024-01-14,1,January,Sunday,1,1,Sankranti,25.7,Ballari Camp,Medical + General,Milkybar,White,10,0,10.0,8,80.0,Business Owner,Regular Purchase,Card,5
SAL00128,2024-03-11,3,March,Monday,0,0,None,31.2,Bellary Fort Area,Petrol Bunk Shop,5 Star,Caramel,40,0,40.0,4,160.0,Business Owner,Birthday,Cash,3
SAL00129,2024-03-17,3,March,Sunday,1,0,None,33.2,Vijayanagar Colony,Medical + General,Éclairs,Toffee,5,0,5.0,5,25.0,Student,Festival,UPI,4
SAL00130,2024-11-14,11,November,Thursday,0,1,Diwali,26.8,Cantonment,Sweet Shop,Amul Dark,Dark,55,0,55.0,9,495.0,Tourist,Self Reward,UPI,1
SAL00131,2024-06-29,6,June,Saturday,1,0,None,34.0,Ballari Camp,Supermarket,KitKat,Wafer,50,5,47.5,7,332.5,Homemaker,Regular Purchase,UPI,1
SAL00132,2024-07-17,7,July,Wednesday,0,0,None,32.9,Hospet Road,Petrol Bunk Shop,Dairy Milk,Milk,40,20,32.0,1,32.0,Student,Festival,Cash,5
SAL00133,2024-06-19,6,June,Wednesday,0,0,None,33.5,Navalagund Circle,Medical + General,Milkybar,White,40,15,34.0,6,204.0,Working Professional,Office Treat,UPI,5
SAL00134,2024-02-02,2,February,Friday,0,0,None,29.9,Bellary Fort Area,Kirana Store,Perk,Wafer,5,10,4.5,12,54.0,Student,Gifting,UPI,5
SAL00135,2024-10-05,10,October,Saturday,1,1,Dasara,28.9,Gandhi Nagar,Petrol Bunk Shop,Munch,Wafer,10,5,9.5,9,85.5,Homemaker,Regular Purchase,UPI,5
SAL00136,2024-07-16,7,July,Tuesday,0,0,None,30.4,Santhepet,Sweet Shop,Temptation,Milk,120,0,120.0,3,360.0,Tourist,Festival,UPI,4
SAL00137,2024-04-02,4,April,Tuesday,0,1,Ugadi,37.2,Navalagund Circle,Kirana Store,KitKat,Wafer,20,0,20.0,10,200.0,Homemaker,Festival,UPI,4
SAL00138,2024-01-22,1,January,Monday,0,1,Sankranti,26.9,Navalagund Circle,Medical + General,Bournville,Dark,100,0,100.0,8,800.0,Student,Regular Purchase,UPI,5
SAL00139,2024-12-13,12,December,Friday,0,1,Christmas,26.1,Gandhi Nagar,Supermarket,KitKat,Wafer,10,10,9.0,9,81.0,Homemaker,Festival,UPI,4
SAL00140,2024-07-08,7,July,Monday,0,0,None,30.5,Cantonment,Medical + General,5 Star,Caramel,40,0,40.0,4,160.0,Homemaker,Birthday,Cash,1
SAL00141,2024-04-05,4,April,Friday,0,1,Ugadi,37.0,Ballari Camp,Medical + General,KitKat,Wafer,20,15,17.0,6,102.0,Homemaker,Office Treat,UPI,3
SAL00142,2024-03-10,3,March,Sunday,1,0,None,34.4,Bellary Fort Area,Supermarket,Temptation,Milk,80,10,72.0,5,360.0,Homemaker,Office Treat,Cash,3
SAL00143,2024-06-02,6,June,Sunday,1,0,None,36.4,Vijayanagar Colony,Petrol Bunk Shop,5 Star,Caramel,20,20,16.0,6,96.0,Tourist,Gifting,UPI,1
SAL00144,2024-10-10,10,October,Thursday,0,1,Dasara,29.3,Bellary Fort Area,Medical + General,5 Star,Caramel,40,10,36.0,10,360.0,Student,Regular Purchase,UPI,5
SAL00145,2024-10-21,10,October,Monday,0,1,Dasara,27.3,Navalagund Circle,Petrol Bunk Shop,KitKat,Wafer,20,20,16.0,9,144.0,Business Owner,Office Treat,Cash,4
SAL00146,2024-04-03,4,April,Wednesday,0,1,Ugadi,38.1,Santhepet,Sweet Shop,Éclairs,Toffee,1,0,1.0,6,6.0,Student,Self Reward,Card,5
SAL00147,2024-04-25,4,April,Thursday,0,1,Ugadi,36.4,Jaganatha Pura,Bakery,KitKat,Wafer,20,15,17.0,7,119.0,Working Professional,Office Treat,Card,4
SAL00148,2024-02-17,2,February,Saturday,1,0,None,29.0,Santhepet,Medical + General,Amul Dark,Dark,55,20,44.0,9,396.0,Working Professional,Office Treat,Cash,1
SAL00149,2024-01-15,1,January,Monday,0,1,Sankranti,24.3,Kuvempu Nagar,Medical + General,Perk,Wafer,20,5,19.0,9,171.0,Working Professional,Self Reward,Cash,3
SAL00150,2024-06-03,6,June,Monday,0,0,None,34.9,Kuvempu Nagar,Sweet Shop,Perk,Wafer,10,5,9.5,3,28.5,Student,Office Treat,UPI,4
